ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,Topic,Probability
171,A Culpa É Nossa,musica171,musica171_trecho3,"Já que cê não quer sair como o ruim da história, então fala aí Que a culpa é nossa De cê ter traído, de cê ter mentido, de cê ser um bosta Que a culpa é nossa De cê ter traído, de cê ter mentido, de cê ser um bosta",Maiara & Maraisa,2023,50,https://www.letras.mus.br/maiara-maraisa/a-culpa-e-nossa/,-1,0.6432413836199746
171,A Culpa É Nossa,musica171,musica171_trecho4,Já que cê não quer sair como o ruim da história Então mente aí que a culpa é nossa,Maiara & Maraisa,2023,19,https://www.letras.mus.br/maiara-maraisa/a-culpa-e-nossa/,-1,0.6432413836199747
171,A Culpa É Nossa,musica171,musica171_trecho9,Já que cê não quer sair como o ruim da história Então mente aí que a culpa é nossa Que a culpa é nossa,Maiara & Maraisa,2023,24,https://www.letras.mus.br/maiara-maraisa/a-culpa-e-nossa/,-1,0.6432413836199748
117,A Dama de Vermelho,musica117,musica117_trecho1,Garçom! Olhe pelo espelho A dama de vermelho Que vai se levantar,Bruno & Marrone,2019,12,https://www.letras.mus.br/bruno-e-marrone/94659/,-1,0.1397329116904985
117,A Dama de Vermelho,musica117,musica117_trecho4,Garçom amigo Apague a luz da minha mesa Eu não quero que ela note Em mim tanta tristeza,Bruno & Marrone,2019,18,https://www.letras.mus.br/bruno-e-marrone/94659/,-1,0.06669701086175472
1188,A Distância,musica1188,musica1188_trecho3,"O que restou do nosso amor ficou No tempo esquecido por você Vivendo do que fomos ainda estou Tanta coisa já mudou, só eu não te esqueci",Zezé Di Camargo & Luciano,2008,27,https://www.letras.mus.br/zeze-di-camargo-e-luciano/1372804/,-1,0.1941793023071252
1256,A Fila Anda,musica1256,musica1256_trecho1,Tá se achando demais Tá pisando sem dó Tá fazendo besteira uma atrás da outra Tá querendo ficar só,Leonardo,2008,19,https://www.letras.mus.br/leonardo/1241598/,-1,0.16759329177293758
1256,A Fila Anda,musica1256,musica1256_trecho2,Tá perdendo a razão Vê se cai na real Porque o ontem já era O amanhã não espera E você pode se dar mal,Leonardo,2008,24,https://www.letras.mus.br/leonardo/1241598/,-1,0.32898134945427127
1256,A Fila Anda,musica1256,musica1256_trecho3,Você não pensa no que fala E acaba sempre machucando quem te dá amor Insiste em me olhar de cima Eu sinto que não tem mais clima A gente acabou,Leonardo,2008,30,https://www.letras.mus.br/leonardo/1241598/,-1,0.26187630162520004
1256,A Fila Anda,musica1256,musica1256_trecho5,"Foi você quem quis assim Abusou demais, pisou em mim Doeu e aí, então, saltei de banda A fila anda, a fila anda, a fila anda",Leonardo,2008,26,https://www.letras.mus.br/leonardo/1241598/,-1,0.0318479471283869
1256,A Fila Anda,musica1256,musica1256_trecho8,"Foi você quem quis assim Abusou demais, pisou em mim Doeu e aí, então, saltei de banda A fila anda, a fila anda, a fila anda A fila anda, a fila anda, a fila anda",Leonardo,2008,35,https://www.letras.mus.br/leonardo/1241598/,-1,0.03184794712838712
1252,A Fila Andou,musica1252,musica1252_trecho2,Cansei desse papo de te amar sozinho O meu coração tá pedindo carinho Já virei a página da nossa relação,Maria Cecília e Rodolfo,2008,20,https://www.letras.mus.br/maria-cecilia-rodolfo/1302405/,-1,0.06791448875262418
1252,A Fila Andou,musica1252,musica1252_trecho3,"Já deletei você da minha vida Sem nenhum rancor na despedida O que passou, passou, já se esqueceu Não volta mais",Maria Cecília e Rodolfo,2008,21,https://www.letras.mus.br/maria-cecilia-rodolfo/1302405/,-1,0.26202538963204425
630,A Gente Nem Ficou,musica630,musica630_trecho2,Sei que pra nós dois um romance é Coisa delicada demais Não dá pra esquecer o que vivemos Antes um do outro,Jorge & Mateus,2012,22,https://www.letras.mus.br/jorge-mateus/a-gente-nem-ficou/,-1,0.19340496805520146
1278,A Louca,musica1278,musica1278_trecho3,Mas a gente não manda No nosso sentimento Eu chorei por você muito tempo,Luan Santana,2009,14,https://www.letras.mus.br/luan-santana/1407540/,-1,0.05164391979118721
184,A Maior Saudade,musica184,musica184_trecho1,"Tem amores da vida que não são pra vida Nesse caso, eu e você somos a prova viva Tem começo que o fim nem passa na cabeça Até que um belo dia, esse dia chega",Henrique & Juliano,2021,35,https://www.letras.mus.br/henrique-e-juliano/a-maior-saudade/,-1,0.2588908998775489
184,A Maior Saudade,musica184,musica184_trecho2,"Chega chamando pelo nome quem chamou de amor E a boca que falou te amo, fala que acabou E o nosso pra sempre, infelizmente, não vingou",Henrique & Juliano,2021,26,https://www.letras.mus.br/henrique-e-juliano/a-maior-saudade/,-1,0.03525047350620325
826,A Noite (La Notte),musica826,musica826_trecho2,Qual é o peso da culpa que eu carrego nos braços? Me entorta as costas e dá um cansaço A maldade do tempo fez Eu me afastar de você,Gusttavo Lima,2024,29,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1,0.642652658713601
826,A Noite (La Notte),musica826,musica826_trecho3,E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho O telefone na mão,Gusttavo Lima,2024,33,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1,0.27128385497312135
826,A Noite (La Notte),musica826,musica826_trecho4,"Pro tanto que eu te queria, o perto nunca bastava Essa proximidade não dava Me perdi no que era real e no que eu inventei Reescrevi as memórias, deixei o cabelo crescer E te dedico uma linda história, confesso Nem a maldade do tempo consegue me afastar de você",Gusttavo Lima,2024,49,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1,0.2602894197191845
826,A Noite (La Notte),musica826,musica826_trecho5,Te contei tantos segredos Que já não eram só meus Rimas de um velho diário Que nunca me pertenceu,Gusttavo Lima,2024,19,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1,0.170848691625756
826,A Noite (La Notte),musica826,musica826_trecho7,"E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho E o telefone na minha mão Yeah, yeah, yeah, yeah",Gusttavo Lima,2024,39,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1,0.27128385497312124
826,A Noite (La Notte),musica826,musica826_trecho8,E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho E o telefone na minha mão Na minha mão,Gusttavo Lima,2024,38,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1,0.271283854973121
