ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
822,Online,musica822,musica822_trecho1,"Quatro horas da manhã Tá online há vinte minutos Tô hipnotizado aqui Esperando um movimento seu Se não jogar agora, você me perdeu",Henrique & Juliano,2020,23,https://www.letras.mus.br/henrique-e-juliano/online/,-1
822,Online,musica822,musica822_trecho2,"Se depender do que eu sinto agora Se depender do que tô sofrendo Se eu for seguir as regras do jogo O seu online nunca vai ver meu escrevendo Oh, uh, oh-oh",Henrique & Juliano,2020,32,https://www.letras.mus.br/henrique-e-juliano/online/,-1
822,Online,musica822,musica822_trecho4,"Aí, se me manda um sorriso Já era todo meu juízo E a conversa termina Na minha cama ou na sua",Henrique & Juliano,2020,21,https://www.letras.mus.br/henrique-e-juliano/online/,-1
1155,Os 10 Mandamentos do Amor,musica1155,musica1155_trecho1,"Os dez mandamentos do amor Para conquistar uma mulher Tem que ter carinho, tem que ter jeitinho Tem que dar aquilo que ela quer",Eduardo Costa,2013,24,https://www.letras.mus.br/eduardo-costa/os-10-mandamentos-do-amor/,-1
1155,Os 10 Mandamentos do Amor,musica1155,musica1155_trecho3,Terceiro é um cheiro pra sentir o seu perfume Olhando as outras pra ela sentir ciúmes O quarto é brincar no escurinho Ser o lobo mau e ela o chapeuzinho O quinto tem que ser bem safadinho,Eduardo Costa,2013,37,https://www.letras.mus.br/eduardo-costa/os-10-mandamentos-do-amor/,-1
97,Os Anjos Cantam,musica97,musica97_trecho2,É que nos meus sonhos você é linda Pessoalmente é mais linda ainda Nosso amor veio de outras vidas Eu vou te amar nas outras vidas que virão,Jorge & Mateus,2015,28,https://www.letras.mus.br/jorge-mateus/os-anjos-cantam-nosso-amor/,-1
97,Os Anjos Cantam,musica97,musica97_trecho6,É que nos meus sonhos você era linda Pessoalmente é mais linda ainda Nosso amor veio de outras vidas Eu vou te amar nas outras vidas que virão,Jorge & Mateus,2015,28,https://www.letras.mus.br/jorge-mateus/os-anjos-cantam-nosso-amor/,-1
1297,Ou Some Ou Soma,musica1297,musica1297_trecho2,"Quando eu olho, você já sumiu Meu mundo desaba e a ficha caiu Tô sozinho chorando, sofrendo, por sua ausência",Jorge & Mateus,2016,20,https://www.letras.mus.br/jorge-mateus/ou-soma-ou-some/,-1
1297,Ou Some Ou Soma,musica1297,musica1297_trecho3,"De repente, você aparece e o coração não obedece Se é pra sofrer, não quero te ver Sai da minha vida e vê se me esquece",Jorge & Mateus,2016,26,https://www.letras.mus.br/jorge-mateus/ou-soma-ou-some/,-1
1297,Ou Some Ou Soma,musica1297,musica1297_trecho4,"Ou some ou soma, deixe de drama Eu já tô cansado de arriscar E quando eu começo a gostar",Jorge & Mateus,2016,19,https://www.letras.mus.br/jorge-mateus/ou-soma-ou-some/,-1
106,Outro Personagem,musica106,musica106_trecho2,Se eu disser que eu não tremi Eu tô mentindo e cê sabe Não é falta de vontade São outras prioridades Acho que cê voltou tarde,Henrique & Juliano,2025,26,https://www.letras.mus.br/henrique-e-juliano/outro-personagem/,-1
1344,Pac Man,musica1344,musica1344_trecho1,Agora cê me atende Responde minhas mensagens Diz que tá sozinha e tá morrendo de saudade Antes de ficar comigo nunca me deu moral Agora tô bombando e com a pegada elas passam mal,Lucas Lucco,2013,34,https://www.letras.mus.br/lucas-lucco/pac-man/,-1
1344,Pac Man,musica1344,musica1344_trecho4,"Antes de ficar comigo Nunca me deu moral Agora conhecido, eu tô lindo, pegando geral Todos já sabem, tô estilo Pac Man Correndo atrás das lindas e Nhec nhec nhec",Lucas Lucco,2013,30,https://www.letras.mus.br/lucas-lucco/pac-man/,-1
1179,Paga Pau,musica1179,musica1179_trecho1,"Você diz que não me ama, você diz que não me quer Mas fica pagando pau, qual é que é Todo dia seu teatro é exatamente igual Você finge que me odeia, mas no fundo paga pau",Fernando e Sorocaba,2010,37,https://www.letras.mus.br/fernando-sorocaba/1439183/,-1
1179,Paga Pau,musica1179,musica1179_trecho2,"Ela é atriz, ela faz cena, ela mete uma pressão Se joga na minha frente, me engana não Feito cobra mal matada, ela rebola, eu passo mal Com o nariz empinado, ela é a tal",Fernando e Sorocaba,2010,35,https://www.letras.mus.br/fernando-sorocaba/1439183/,-1
1179,Paga Pau,musica1179,musica1179_trecho3,"Se eu mando um xaveco, ela finge não ouvir Mas se eu grito: ""Olha a bruxa!"", vem discutir Sua psicologia tá um tanto quanto errada Ou me aceita de uma vez, ou tá danada!",Fernando e Sorocaba,2010,34,https://www.letras.mus.br/fernando-sorocaba/1439183/,-1
1179,Paga Pau,musica1179,musica1179_trecho5,"Ela é atriz, ela faz cena, ela mete uma pressão Se joga na minha frente, me engana não Feito cobra mal matada, ela rebola eu passo mal Com o nariz empinado, ela é a tal",Fernando e Sorocaba,2010,35,https://www.letras.mus.br/fernando-sorocaba/1439183/,-1
866,Palácios e Castelos,musica866,musica866_trecho2,"Li, reli seu manual inteiro Descobri todos os seus segredos Desenhei o mapa que me leva a você",Luan Santana,2011,18,https://www.letras.mus.br/luan-santana/1779426/,-1
866,Palácios e Castelos,musica866,musica866_trecho3,"A gente se conheceu na escola Eu pegando onda e jogando bola Você era modelo e adorava dançar Praia, cinema, festinhas no ar!",Luan Santana,2011,23,https://www.letras.mus.br/luan-santana/1779426/,-1
866,Palácios e Castelos,musica866,musica866_trecho4,"Se tá com dor, eu sou doutor Tá com frio, eu sou calor Mando flores, dou beijinho em sua mão Se quer brincar de se esconder No escurinho eu e você É só pedir com o coração",Luan Santana,2011,37,https://www.letras.mus.br/luan-santana/1779426/,-1
511,Palavras de Perdão,musica511,musica511_trecho1,"Culpada Eu mereço adjetivo de culpada Eu fui incompreensível, até chamei de drama os seus traumas",Marília Tavares,2024,16,https://www.letras.mus.br/marilia-tavares/palavras-de-perdao/,-1
511,Palavras de Perdão,musica511,musica511_trecho2,Desculpa o meu ciúme em excesso E as vergonhas que te fiz passar no meio do povo Todas as vezes que eu te pisei com meu ego O que doeu em você Pode ter certeza que tá doendo em mim em dobro,Marília Tavares,2024,42,https://www.letras.mus.br/marilia-tavares/palavras-de-perdao/,-1
511,Palavras de Perdão,musica511,musica511_trecho3,"Mesmo sabendo que eu tava bloqueada Digitei essas palavras de perdão com eu te amo Do nada, mensagem visualizada E gelei quando eu vi um digitando e recebi um",Marília Tavares,2024,29,https://www.letras.mus.br/marilia-tavares/palavras-de-perdao/,-1
998,Palhaça (part. Ana Castela),musica998,musica998_trecho3,E tem A dançarina que até nos modão Quica no chão Quica no chão,Naiara Azevedo,2023,14,https://www.letras.mus.br/naiara-azevedo/palhaca-part-ana-castela/,-1
