ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
934,Mensagem Pra Ela,musica934,musica934_trecho3,Vou te ligar Vou deixar recado Vou mandar mensagem,César Menotti & Fabiano,2005,9,https://www.letras.mus.br/cesar-menotti-e-fabiano/566162/,-1
1593,Mentalmente (part. MC Kevinho),musica1593,musica1593_trecho1,"Quando você passa, tudo fica diferente Tava sem graça, mas agora ficou envolvente Vi sua boca gostosa na minha e senti o seu corpo tão quente Sua boca gostosa na minha e senti o seu corpo tão quente Olhei pro seu sorriso e viajei de repente",Naiara Azevedo,2017,46,https://www.letras.mus.br/naiara-azevedo/mentalmente/,-1
1593,Mentalmente (part. MC Kevinho),musica1593,musica1593_trecho2,Tô sarrando em você mentalmente Tô sarrando em você mentalmente Tô sarrando em você Olhei pro seu sorriso e viajei de repente,Naiara Azevedo,2017,22,https://www.letras.mus.br/naiara-azevedo/mentalmente/,-1
1593,Mentalmente (part. MC Kevinho),musica1593,musica1593_trecho3,Tô sarrando em você lentamente E tô sarrando em você lentamente Tô sarrando em você lentamente Tô sarrando em você lentamente,Naiara Azevedo,2017,21,https://www.letras.mus.br/naiara-azevedo/mentalmente/,-1
1593,Mentalmente (part. MC Kevinho),musica1593,musica1593_trecho6,Tô sarrando em você lentamente Tô sarrando em você lentamente Tô sarrando em você lentamente,Naiara Azevedo,2017,15,https://www.letras.mus.br/naiara-azevedo/mentalmente/,-1
1593,Mentalmente (part. MC Kevinho),musica1593,musica1593_trecho7,Tô sarrando em você lentamente Eu tô sarrando em você lentamente Tô sarrando em você lentamente Tô sarrando em você lentamente,Naiara Azevedo,2017,21,https://www.letras.mus.br/naiara-azevedo/mentalmente/,-1
272,Mente Pra Mim,musica272,musica272_trecho1,Olha dentro dos meus olhos E me conta umas mentiras só pra me agradar Fala que hoje eu tô bonito Que ainda pensa em mim quando vai se deitar,Cristiano Araújo,2012,29,https://www.letras.mus.br/cristiano-araujo/mente-pra-mim/,-1
272,Mente Pra Mim,musica272,musica272_trecho2,Diz que quando acorda todo dia Seu primeiro pensamento pode ser que seja eu Mente pra esse cara inocente Fala que ele ainda vai ser seu,Cristiano Araújo,2012,26,https://www.letras.mus.br/cristiano-araujo/mente-pra-mim/,-1
272,Mente Pra Mim,musica272,musica272_trecho3,"O amor da sua vida era eu Não era verdade Eu vou amar doendo, eu vou amar sofrendo Mesmo sabendo que tudo pode acabar (vai)",Cristiano Araújo,2012,25,https://www.letras.mus.br/cristiano-araujo/mente-pra-mim/,-1
70,Mentes Tão Bem,musica70,musica70_trecho1,"Me promete amor sincero, uma vida inteira Com você, o meu inverno vira primavera Vive me jurando estar apaixonada Prometeu o mundo e nunca me deu nada Você não cumpre nada",Zezé Di Camargo,2022,31,https://www.letras.mus.br/zeze-di-camargo/mentes-tao-bem/,-1
70,Mentes Tão Bem,musica70,musica70_trecho2,"Se eu seguir o seu caminho chegarei ao céu Eu vou provando o gosto amargo do seu doce mel Na mentira das palavras entro no seu jogo Procurando água, só encontro fogo E queimo nesse fogo",Zezé Di Camargo,2022,36,https://www.letras.mus.br/zeze-di-camargo/mentes-tao-bem/,-1
70,Mentes Tão Bem,musica70,musica70_trecho3,"Quando você fala, tão apaixonada Meu amor, eu sempre estarei contigo Olho nos seus olhos, me emociono e choro Sei que é mentira, mas me sinto vivo Mesmo sendo falso o ar, sinto que respiro",Zezé Di Camargo,2022,35,https://www.letras.mus.br/zeze-di-camargo/mentes-tao-bem/,-1
1029,Mesmice,musica1029,musica1029_trecho1,Cê lembra quando foi a última vez Que a gente fez (que a gente fez) Algo pela primeira vez? Eu parei de contar tem mais de mês,Simone Mendes,2025,27,https://www.letras.mus.br/simone-mendes/mesmice/,-1
1029,Mesmice,musica1029,musica1029_trecho3,"Eu já fingi de tudo pra gente não acabar Até fingi prazer com você na hora H Mas feliz não dá (não dá) Fingir que eu tô feliz Não dá, não dá Eu já fingi de tudo pra gente não acabar Até fingi prazer com você na hora H Mas feliz não dá Fingir que eu tô feliz Não dá, não dá",Simone Mendes,2025,62,https://www.letras.mus.br/simone-mendes/mesmice/,-1
872,Mesmo Sem Estar (part. Sandy),musica872,musica872_trecho3,"Tô naquela fome louca de manhã Na vontade de comer besteira no café Tô naquela blusa que eu sei que é azul Só pra me irritar, insiste em dizer que não é",Luan Santana,2016,32,https://www.letras.mus.br/luan-santana/mesmo-sem-estar/,-1
872,Mesmo Sem Estar (part. Sandy),musica872,musica872_trecho6,"Que tal apostar A gente não se fala mais por um mês Você vai ver que o tempo não muda nada, nada Nada, nada Eu tô aí Mesmo sem estar",Luan Santana,2016,30,https://www.letras.mus.br/luan-santana/mesmo-sem-estar/,-1
872,Mesmo Sem Estar (part. Sandy),musica872,musica872_trecho13,"Que tal apostar A gente não se fala mais por um mês Você vai ver que o tempo não muda nada (nada), nada Eu tô aí Mesmo sem estar",Luan Santana,2016,29,https://www.letras.mus.br/luan-santana/mesmo-sem-estar/,-1
668,Metade da Estrada,musica668,musica668_trecho1,Olha aqui pra mim Pra cá e pra lá no quarto Nesse breu danado Eu não levantei e nem vou levantar É desesperador Essa situação Cadê o bom senso do seu coração? Já dá pra parar,Henrique & Juliano,2018,36,https://www.letras.mus.br/henrique-e-juliano/metade-da-estrada/,-1
668,Metade da Estrada,musica668,musica668_trecho5,"Nunca pensou em mim, nunca Só me deixou o eco e mais nada Me prometeu vida toda E me deixou na metade da estrada",Henrique & Juliano,2018,24,https://www.letras.mus.br/henrique-e-juliano/metade-da-estrada/,-1
1114,Mete Sua Boca,musica1114,musica1114_trecho2,"Quero sorrir da saudade Zombar da tristeza e da solidão Agora é só felicidade, amor de verdade Desejo e paixão Não quero mais bebedeira",Guilherme & Santiago,2010,24,https://www.letras.mus.br/guilherme-e-santiago/1630466/,-1
498,Meteoro,musica498,musica498_trecho1,"Te dei o sol, te dei o mar Pra ganhar seu coração Você é raio de saudade Meteoro da paixão Explosão de sentimentos Que eu não pude acreditar Ah! Como é bom poder te amar!",Luan Santana,2009,35,https://www.letras.mus.br/luan-santana/1407542/,-1
