ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
826,A Noite (La Notte),musica826,musica826_trecho3,E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho O telefone na mão,Gusttavo Lima,2024,33,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1
826,A Noite (La Notte),musica826,musica826_trecho7,"E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho E o telefone na minha mão Yeah, yeah, yeah, yeah",Gusttavo Lima,2024,39,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1
826,A Noite (La Notte),musica826,musica826_trecho8,E quando chega a noite Eu não consigo dormir Meu coração acelera Eu sozinho aqui Mudo o lado da cama Eu ligo a televisão Olhos nos olhos do espelho E o telefone na minha mão Na minha mão,Gusttavo Lima,2024,38,https://www.letras.mus.br/gusttavo-lima/a-noite/,-1
118,A Nossa Praia,musica118,musica118_trecho1,"Você reparou, o tempo parou pra nós A melhor canção é o som da sua voz No horizonte o céu faz um show de cores pra nós dois E deixa eu te falar que o melhor eu guardei pra depois Ô, ô, ô, ô",Matheus & Kauan,2017,44,https://www.letras.mus.br/matheus-kauan/a-nossa-praia/,-1
118,A Nossa Praia,musica118,musica118_trecho2,"A nossa praia é amar, beijar Ficar de boa em frente ao mar Com aquela pessoa que eu escolhi pra ficar E tudo que atrasa, deixa a maré levar Deixa levar",Matheus & Kauan,2017,31,https://www.letras.mus.br/matheus-kauan/a-nossa-praia/,-1
118,A Nossa Praia,musica118,musica118_trecho3,"A nossa praia é amar, beijar Ficar de boa em frente ao mar Com aquela pessoa que eu escolhi pra ficar E tudo que atrasa, deixa a maré levar Deixa levar Ô, ô, ô, ô",Matheus & Kauan,2017,35,https://www.letras.mus.br/matheus-kauan/a-nossa-praia/,-1
118,A Nossa Praia,musica118,musica118_trecho5,"A nossa praia é amar, beijar Ficar de boa em frente ao mar Com aquela pessoa que eu escolhi pra ficar E tudo que atrasa, deixa a maré levar Deixa, deixa levar Ô, ô, ô, ô",Matheus & Kauan,2017,36,https://www.letras.mus.br/matheus-kauan/a-nossa-praia/,-1
118,A Nossa Praia,musica118,musica118_trecho6,"A nossa praia é amar, beijar Ficar de boa em frente ao mar Com aquela pessoa que eu escolhi pra ficar E tudo que atrasa, deixa a maré levar Deixa levar A nossa praia é amar, amar Deixa a maré levar",Matheus & Kauan,2017,41,https://www.letras.mus.br/matheus-kauan/a-nossa-praia/,-1
1040,A Paz,musica1040,musica1040_trecho1,Deve haver um lugar dentro do seu coração Onde a paz brilhe mais que uma lembrança Sem a luz que ela traz já nem se consegue mais Encontrar o caminho da esperança,Daniel,2015,32,https://www.letras.mus.br/daniel/a-paz-heal-the-world/,-1
1040,A Paz,musica1040,musica1040_trecho3,"Só o amor, muda o que já se fez E a força da paz junta todos outra vez Venha, já é hora de acender a chama da vida E fazer a Terra inteira feliz",Daniel,2015,34,https://www.letras.mus.br/daniel/a-paz-heal-the-world/,-1
1040,A Paz,musica1040,musica1040_trecho4,"Se você for capaz de soltar a sua voz Pelo ar, como prece de criança Deve então começar outros vão te acompanhar E cantar com harmonia e esperança",Daniel,2015,28,https://www.letras.mus.br/daniel/a-paz-heal-the-world/,-1
1040,A Paz,musica1040,musica1040_trecho8,"Só o amor, muda o que já se fez E a força da paz junta todos outra vez Venha, já é hora de acender a chama da vida",Daniel,2015,28,https://www.letras.mus.br/daniel/a-paz-heal-the-world/,-1
1040,A Paz,musica1040,musica1040_trecho9,E fazer a terra inteira feliz E fazer a terra inteira feliz E fazer a terra inteira feliz,Daniel,2015,18,https://www.letras.mus.br/daniel/a-paz-heal-the-world/,-1
861,A Rosa E O Beija-Flor,musica861,musica861_trecho1,Quando você fica ao lado de uma pessoa E ela mesmo em silêncio lhe faz bem Quando você fecha os olhos E no pensamento está Fotografado o rosto desse alguém,Matheus & Kauan,2015,30,https://www.letras.mus.br/matheus-kauan/a-rosa-e-o-beija-flor/,-1
861,A Rosa E O Beija-Flor,musica861,musica861_trecho2,E quando estiver num dia triste Basta o sorriso dela pra você ficar feliz E quando se sentir realizado E dizer que encontrou o bem Que você sempre quis,Matheus & Kauan,2015,29,https://www.letras.mus.br/matheus-kauan/a-rosa-e-o-beija-flor/,-1
