ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
865,24 Horas de Amor/ Só Dá Você Na Minha Vida/ Pense Em Mim/ Talismã (pot-pourri),musica865,musica865_trecho10,Sabe quanto tempo não te vejo Cada vez você mais longe Mas eu gosto de você Por quê?,Ícaro e Gilmar,2020,18,https://www.letras.mus.br/icaro-e-gilmar/24-horas-de-amor-so-da-voce-na-minha-vida-pense-em-mim-talisma-pot-pourri/,-1
1517,3 de Maio,musica1517,musica1517_trecho4,Quando o amor bate na porta é só deixar ele entrar Na vida tem escolhas e o mais certo é não ter medo de errar O beijo tão gostoso que você me deu me fez esquecer da hora Eu viajei direto pra saturno e não voltei até agora,Luan Santana,2012,48,https://www.letras.mus.br/luan-santana/3-de-maio/,-1
1187,360 O Arrocha do Poder,musica1187,musica1187_trecho1,Ela me falou que não sabe dançar Que ainda não tinha as manha de arrochar Falei fica tranquila que eu vou te ensinar E fácil toda vida não tem como não pegar,Thiago Brava,2012,32,https://www.letras.mus.br/thiago-brava/360-o-arrocha-do-poder/,-1
1187,360 O Arrocha do Poder,musica1187,musica1187_trecho3,"180, 180, 360 180, 180, 360 É fácil de pegar, difícil de esquecer O cara da pegada quer te ensinar a fazer",Thiago Brava,2012,22,https://www.letras.mus.br/thiago-brava/360-o-arrocha-do-poder/,-1
1187,360 O Arrocha do Poder,musica1187,musica1187_trecho4,"180, 180, 360 180, 180, 360 É fácil de pegar, difícil de esquecer Se liga na pegada, é o arrocha do poder",Thiago Brava,2012,22,https://www.letras.mus.br/thiago-brava/360-o-arrocha-do-poder/,-1
1145,365 Dias,musica1145,musica1145_trecho1,Ainda vou aonde a gente ia Pensando em te ver de novo Minha esperança ainda fantasia nosso reencontro,Thaeme e Thiago,2012,18,https://www.letras.mus.br/thaeme-thiago/1985791/,-1
1145,365 Dias,musica1145,musica1145_trecho3,Hoje faz trezentos e sessenta e cinco dias Faz um ano que você se foi Refazendo um resumo da minha vida Vejo que tudo que construí não me valeu a pena Porque tudo que eu fiz foi pensando em nós dois,Thaeme e Thiago,2012,41,https://www.letras.mus.br/thaeme-thiago/1985791/,-1
1145,365 Dias,musica1145,musica1145_trecho6,"Comprei o mesmo perfume que o seu Passei na roupa que você deixou E durmo abraçado, inconformado Me perguntando aonde foi que a gente errou",Thaeme e Thiago,2012,25,https://www.letras.mus.br/thaeme-thiago/1985791/,-1
311,5 KM,musica311,musica311_trecho1,"Doente de saudade, me dei alta pra viver Tô contando as horas, são dois dias sem te ver Já deu pra entender que você me faz falta",Henrique & Juliano,2017,27,https://www.letras.mus.br/henrique-e-juliano/5-km/,-1
311,5 KM,musica311,musica311_trecho2,"E pra chegar até você, eu já decorei São 5 km, 7 sinais, 20 esquinas, 2 hospitais 7 andares, são duas portas Tô no seu quarto, a hora é agora, a hora é agora",Henrique & Juliano,2017,34,https://www.letras.mus.br/henrique-e-juliano/5-km/,-1
